| Id   | rarityScore | Name                     | Body           | Accessory      | Background        | Hair                | Mask            | Weapon                  | Cloth                |
+------+-------------+--------------------------+----------------+----------------+-------------------+---------------------+-----------------+-------------------------+----------------------+
| 1111 | 5554.0      | Protector of Power       |                |                |                   |                     |                 |                         |                      |
| 2222 | 5554.0      | Protector of Space       |                |                |                   |                     |                 |                         |                      |
| 3333 | 5554.0      | Protector of Time        |                |                |                   |                     |                 |                         |                      |
| 4444 | 5554.0      | Protector of Eternity    |                |                |                   |                     |                 |                         |                      |
| 5554 | 5554.0      | Grand General of Varonve |                |                |                   |                     |                 |                         |                      |
| 3881 | 294.21      |                          | Human T1       | Red Guard      | Laser Red         | Pink Headband Hair  |                 | Beam Gun Breeze         | Majestic Suit        |
| 689  | 289.76      |                          | Human M2       | Sunset         | Ionic Gray        | Orange Aviator      |                 | Soldier Rifle Breeze    | Camouflage Suit      |
| 4859 | 288.79      |                          | Human M3       |                | Ionic Pink        | Brown Waves         |                 | Soldier Rifle Breeze    | Ironclad Suit        |
| 2105 | 288.59      |                          | Human M3       | Blue Night     | Ionic Purple      | Brown Mess          |                 | Grenade Launcher Breeze | Bomb Defuser         |
| 3781 | 288.24      |                          | Human T5       | Dark Lightning | Laser Blue        | Pink Headband Hair  |                 | Toy Gun Breeze          | Gladiator Armor      |
| 2955 | 287.25      |                          | Human M3       | Blue Night     | Dark Green        | Pink Headband Hair  |                 | Water Gun Breeze        | Prince Costume       |
| 1753 | 286.74      |                          | Human T1       | Red Guard      | Purple            | Brown Waves         |                 | Sniper Breeze           | Library Staff        |
| 1947 | 284.98      |                          | Human M2       |                | Laser Blue        | Brown Waves         |                 | Soldier Rifle Breeze    | Technician jacket    |
| 5073 | 284.54      |                          | Human M3       | Red Guard      | Ionic Yellow      | Rose Gear           |                 | Finisher Breeze         | Ironclad Suit        |
| 4576 | 283.82      |                          | Human M0       |                | Emerald           | Brown Waves         |                 | Soldier Rifle Breeze    | Base Guard           |
| 1446 | 283.44      |                          | Human M0       | Sunset         | Yellow            | Ski Visors          |                 | Finisher Breeze         | Army Suit            |
| 776  | 283.24      |                          | Celestial      |                | Purple            |                     |                 | Grenade Launcher        | Commander Uniform    |
| 1803 | 282.7       |                          | Human T3       | Blue Night     | Laser Green       | Icy Spikes          |                 | Toy Gun Breeze          | Travelers Jacket     |
| 3335 | 282.65      |                          | Human T1       | Sunset         | Ionic Yellow      | Orange Aviator      |                 | Finisher Breeze         | Bright Suit          |
| 1208 | 282.53      |                          | Human T4       | Red Guard      | Laser Green       | Pink Headband Hair  |                 | Ion Rifle Breeze        | Time Traveler Suit   |
| 1063 | 282.22      |                          | Human T5       | Sunset         | Ionic Matte Green | Brown Mess          |                 | Wall Breaker Breeze     | Punk Suit            |
| 4801 | 282.17      |                          | Human M0       | Sunset         | Dark Green        | Pink Headband Hair  |                 | Wall Breaker Breeze     | President Protection |
| 3930 | 282.05      |                          | Human M3       | Red Guard      | Magenta           | Blue Aviator        |                 | Beam Gun Breeze         | Tech Suit            |
| 4791 | 281.59      |                          | Human M3       | Dark Lightning | Magenta           | Rose Gear           |                 | Finisher Breeze         | Assassin Unifrom     |
| 2227 | 281.51      |                          | Human T3       | Red Guard      | Dark Green        | Green Headband Hair |                 | Sniper Breeze           | Cleaning Officer     |
| 5489 | 281.27      |                          | Human T3       | Sunset         | Laser Red         | Brown Waves         |                 | Grenade Launcher Breeze | Neon Suit            |
| 16   | 280.59      |                          | Celestial      |                | Magenta           |                     |                 | Grenade Launcher        | Air Support Suit     |
| 5523 | 280.58      |                          | Human M2       |                | Laser Blue        | Ski Visors          |                 | Soldier Rifle Breeze    | Assassin Unifrom     |
| 4456 | 280.54      |                          | Human M0       | Blue Night     | Laser Red         | Metal Implant       |                 | Sniper Breeze           | Zero Arm Suit        |
| 1143 | 280.34      |                          | Human T2       | Dark Lightning | Magenta           | Dark Waves          |                 | Ion Rifle Breeze        | Respectable Jacket   |
| 3205 | 280.22      |                          | Human T4       | Blue Night     | Ionic Burgundy    | Rose Gear           |                 | Finisher Breeze         | Gunslinger Suit      |
| 1351 | 279.96      |                          | Human M0       | Dark Lightning | Ionic Purple      | Blue Highlights     |                 | Sniper Breeze           | Library Staff        |
| 3091 | 279.6       |                          | Human M3       | Sunset         | Laser Blue        | Green Aviator       |                 | Beam Gun Breeze         | Technician jacket    |
| 2158 | 279.39      |                          | Human M4       | Dark Lightning | Ionic Blue        | Orange Aviator      |                 | Sniper Breeze           | Gladiator Armor      |
| 544  | 278.22      |                          | Human T1       |                | Ionic Pink        | Green Headband Hair |                 | Soldier Rifle Breeze    | Assassin Unifrom     |
| 3701 | 278.15      |                          | Human T1       | Dark Lightning | Ionic Yellow      | Ski Visors          |                 | Toy Gun Breeze          | Robotic Suit         |
| 1420 | 277.72      |                          | Human M0       |                | Ionic Gray        | Braided White Band  |                 | Soldier Rifle Breeze    | Surfer Jacket        |
| 4977 | 277.71      |                          | Human T2       | Dark Lightning | Ionic Burgundy    | Ski Visors          |                 | Sniper Breeze           | Governor Jacket      |
| 493  | 277.25      |                          | Human T2       | Red Guard      | Laser Green       | Rose Gear           |                 | Sniper Breeze           | Gardener Apron       |
| 2819 | 277.24      |                          | Human T3       | Dark Lightning | Laser Blue        | Ski Visors          |                 | Wall Breaker Breeze     | Bright Suit          |
| 4599 | 277.23      |                          | Human M1       | Red Guard      | Ionic Red         | Braided White Band  |                 | Beam Gun Breeze         | Worker Jacket        |
| 4475 | 277.14      |                          | Celestial      |                | Ionic Blue        |                     |                 | Wall Breaker            | Bomb Defuser         |
| 2749 | 276.98      |                          | Human T2       | Dark Lightning | Ionic Green       | Brown Mess          |                 | Water Gun Breeze        | Time Traveler Suit   |
| 3634 | 276.9       |                          | Human M3       | Red Guard      | Laser Green       | Metal Implant       |                 | Grenade Launcher Breeze | Surfer Jacket        |
| 279  | 276.06      |                          | Human T2       |                | Ionic Matte Green | Green Aviator       |                 | Soldier Rifle Breeze    | Medical Uniform      |
| 1151 | 275.79      |                          | Human M0       | Red Guard      | Laser Green       | Blue Highlights     |                 | Water Gun Breeze        | President Protection |
| 751  | 275.31      |                          | Human M1       | Sunset         | Ionic Matte Green | Green Headband Hair |                 | Water Gun Breeze        | Ironclad Suit        |
| 5300 | 275.28      |                          | Human M2       | Blue Night     | Ionic Gray        | Orange Aviator      |                 | Beam Gun Breeze         | Respectable Jacket   |
| 2183 | 275.07      |                          | Celestial      |                | Laser Red         |                     |                 | Modern Shotgun          | Space Suit           |
| 5529 | 275.05      |                          | Human M4       | Dark Lightning | Purple            | Metal Implant       |                 | Grenade Launcher Breeze | Assassin Unifrom     |
| 1113 | 274.72      |                          | Human M2       | Dark Lightning | Laser Blue        | Dark Waves          |                 | Wall Breaker Breeze     | Travelers Jacket     |
| 571  | 274.6       |                          | Human M3       | Blue Night     | Laser Green       | Green Gradient      |                 | Toy Gun Breeze          | Tech Suit            |
| 2782 | 274.31      |                          | Celestial      |                | Ionic Blue        |                     |                 | Toy Gun                 | Varonve Sweater      |
| 4338 | 274.3       |                          | Human T3       | Blue Night     | Magenta           | Orange Aviator      |                 | Ion Rifle Breeze        | Esoteric Jacket      |
| 4928 | 274.09      |                          | Human M3       |                | Yellow            | Green Gradient      |                 | Soldier Rifle Breeze    | Punk Suit            |
| 4339 | 273.93      |                          | Human M3       | Dark Lightning | Ionic Pink        | Dark Pipes          |                 | Soldier Rifle Breeze    | Space Suit           |
| 4417 | 273.42      |                          | Human M0       | Blue Night     | Ionic Yellow      | Green Headband Hair |                 | Toy Gun Breeze          | Governor Jacket      |
| 5365 | 273.39      |                          | Human M3       | Sunset         | Ionic Brown       | Green Gradient      |                 | Toy Gun Breeze          | Medical Uniform      |
| 4530 | 273.36      |                          | Human T2       |                | Ionic Pink        | Blue Highlights     |                 | Finisher Breeze         | Prince Costume       |
| 4589 | 273.31      |                          | Celestial      |                | Ionic Brown       |                     |                 | Wall Breaker            | Ironclad Suit        |
| 1165 | 273.27      |                          | Human M4       |                | Purple            | Metal Implant       |                 | Soldier Rifle Breeze    | Neon Suit            |
| 4009 | 273.22      |                          | Human T2       | Dark Lightning | Ionic Green       | Braided Orange Band |                 | Ion Rifle Breeze        | Medical Uniform      |
| 4703 | 273.04      |                          | Human T5       | Blue Night     | Laser Blue        | Green Aviator       |                 | Wall Breaker Breeze     | Worker Jacket        |
| 2504 | 272.86      |                          | Human M1       | Blue Night     | Ionic Green       | Blue Aviator        |                 | Wall Breaker Breeze     | Robotic Suit         |
| 4768 | 272.77      |                          | Human M1       |                | Dark Green        | Orange Aviator      |                 | Soldier Rifle Breeze    | Gunslinger Suit      |
| 1334 | 272.48      |                          | Human T3       | Sunset         | Ionic Red         | Orange Aviator      |                 | Ion Rifle Breeze        | Neon Suit            |
| 2986 | 272.47      |                          | Human M0       |                | Dark Green        | Pink Headband Hair  |                 | Finisher Breeze         | Worker Jacket        |
| 3741 | 272.3       |                          | Celestial      |                | Ionic Yellow      |                     |                 | Ion Rifle               | Bright Suit          |
| 2929 | 272.27      |                          | Human M4       |                | Ionic Red         | Orange Aviator      |                 | Soldier Rifle Breeze    | Medical Uniform      |
| 4551 | 272.05      |                          | Human T2       | Sunset         | Purple            | Braided Orange Band |                 | Ion Rifle Breeze        | Cleaning Officer     |
| 5005 | 272.03      |                          | Celestial      |                | Ionic Blue        |                     |                 | Toy Gun                 | Bright Suit          |
| 5361 | 272.0       |                          | Celestial      |                | Dark Green        |                     |                 | Wall Breaker            | Space Suit           |
| 2813 | 271.94      |                          | Human T3       | Sunset         | Ionic Gray        | Wolverine Hair      |                 | Soldier Rifle Breeze    | Camouflage Suit      |
| 4152 | 271.9       |                          | Celestial      |                | Ionic Red         |                     |                 | Wall Breaker            | Gardener Apron       |
| 5380 | 271.61      |                          | Human M1       |                | Laser Red         | Brown Waves         |                 | Sniper Breeze           | Technician jacket    |
| 3155 | 271.41      |                          | Human M0       | Red Guard      | Ionic Brown       | Braided White Band  |                 | Toy Gun Breeze          | Time Traveler Suit   |
| 2041 | 271.39      |                          | Human T4       |                | Ionic Pink        | Brown Mess          |                 | Ion Rifle Breeze        | Bright Suit          |
| 2872 | 270.63      |                          | Human T1       | Dark Lightning | Ionic Matte Green | Braided White Band  |                 | Wall Breaker Breeze     | Respectable Jacket   |
| 2558 | 270.33      |                          | Celestial      |                | Dark Green        |                     |                 | Modern Shotgun          | Worker Jacket        |
| 1188 | 270.27      |                          | Human M3       | Red Guard      | Ionic Purple      | Metal Implant       |                 | Grenade Launcher Breeze | Technician jacket    |
| 373  | 270.06      |                          | Celestial      |                | Laser Blue        |                     |                 | Modern Shotgun          | Air Support Suit     |
| 1287 | 269.91      |                          | Human T4       |                | Ionic Purple      | Blue Aviator        |                 | Finisher Breeze         | Commander Uniform    |
| 3144 | 269.7       |                          | Human M2       | Blue Night     | Laser Green       | Braided White Band  |                 | Wall Breaker Breeze     | Tech Suit            |
| 2391 | 269.58      |                          | Human M1       |                | Purple            | Braided White Band  |                 | Soldier Rifle Breeze    | Cleaning Officer     |
| 2503 | 269.55      |                          | Celestial      |                | Magenta           |                     |                 | Wall Breaker            | Punk Suit            |
| 1397 | 269.43      |                          | Celestial      |                | Emerald           |                     |                 | Ion Rifle               | Space Suit           |
| 3075 | 269.22      |                          | Celestial      |                | Ionic Blue        |                     |                 | Rifle                   | Technician jacket    |
